Episode,Average Paddle Hits
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,0
19,0
20,0
21,0
22,0
23,0
24,0
25,0
26,0
27,0
28,0
29,0
30,0
31,0
32,0
33,0
34,0
35,0
36,0
37,0
38,0
39,0
40,0
41,0
42,0
43,0
44,0
45,0
46,0
47,0
48,0
49,0
50,0
51,0
52,0
53,0
54,0
55,0
56,0
57,0
58,0
59,0
60,0
61,0
62,0
63,0
64,0
65,0
66,0
67,0
68,0
69,0
70,0
71,0
72,0
73,0
74,0
75,0
76,0
77,0
78,0
79,0
80,0
81,0
82,0
83,0
84,0
85,0
86,0
87,0
88,0
89,0
90,0
91,0
92,0
93,0
94,0
95,0
96,0
97,0
98,0
99,0
100,0.45
101,0.42
102,0.42
103,0.42
104,0.42
105,0.43
106,0.42
107,0.43
108,0.43
109,0.42
110,0.41
111,0.42
112,0.42
113,0.42
114,0.46
115,0.46
116,0.46
117,0.46
118,0.46
119,0.46
120,0.47
121,0.47
122,0.46
123,0.47
124,0.46
125,0.46
126,0.46
127,0.47
128,0.46
129,0.46
130,0.46
131,0.46
132,0.46
133,0.47
134,0.47
135,0.5
136,0.49
137,0.52
138,0.52
139,0.52
140,0.52
141,0.52
142,0.51
143,0.51
144,0.51
145,0.52
146,0.52
147,0.52
148,0.53
149,0.53
150,0.54
151,0.53
152,0.52
153,0.51
154,0.52
155,0.52
156,0.51
157,0.51
158,0.52
159,0.6
160,0.6
161,0.6
162,0.64
163,0.63
164,0.61
165,0.61
166,0.61
167,0.63
168,0.62
169,0.62
170,0.62
171,0.64
172,0.64
173,0.64
174,0.64
175,0.64
176,0.65
177,0.69
178,0.7
179,0.71
180,0.71
181,0.71
182,0.72
183,0.72
184,0.72
185,0.69
186,0.69
187,0.68
188,0.68
189,0.69
190,0.7
191,0.74
192,0.74
193,0.74
194,0.73
195,0.73
196,0.72
197,0.73
198,0.75
199,0.75
200,0.73
201,0.73
202,0.74
203,0.73
204,0.73
205,0.72
206,0.71
207,0.7
208,0.7
209,0.7
210,0.74
211,0.75
212,0.77
213,0.77
214,0.73
215,0.73
216,0.73
217,0.73
218,0.73
219,0.76
220,0.75
221,0.75
222,0.78
223,0.77
224,0.78
225,0.79
226,0.79
227,0.79
228,0.84
229,0.84
230,0.83
231,0.84
232,0.84
233,0.83
234,0.83
235,0.8
236,0.81
237,0.79
238,0.82
239,0.84
240,0.84
241,0.83
242,0.84
243,0.86
244,0.87
245,0.86
246,0.86
247,0.86
248,0.84
249,0.85
250,0.84
251,0.85
252,0.85
253,0.84
254,0.84
255,0.88
256,0.86
257,0.87
258,0.87
259,0.79
260,0.8
261,0.82
262,0.78
263,0.78
264,0.78
265,0.78
266,0.77
267,0.75
268,0.75
269,0.76
270,0.77
271,0.76
272,0.76
273,0.77
274,0.76
275,0.76
276,0.75
277,0.71
278,0.7
279,0.68
280,0.69
281,0.69
282,0.68
283,0.71
284,0.71
285,0.73
286,0.73
287,0.73
288,0.73
289,0.73
290,0.72
291,0.68
292,0.68
293,0.68
294,0.69
295,0.69
296,0.7
297,0.68
298,0.67
299,0.67
300,0.69
