Episode,Average Paddle Hits
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,0
19,0
20,0
21,0
22,0
23,0
24,0
25,0
26,0
27,0
28,0
29,0
30,0
31,0
32,0
33,0
34,0
35,0
36,0
37,0
38,0
39,0
40,0
41,0
42,0
43,0
44,0
45,0
46,0
47,0
48,0
49,0
50,0
51,0
52,0
53,0
54,0
55,0
56,0
57,0
58,0
59,0
60,0
61,0
62,0
63,0
64,0
65,0
66,0
67,0
68,0
69,0
70,0
71,0
72,0
73,0
74,0
75,0
76,0
77,0
78,0
79,0
80,0
81,0
82,0
83,0
84,0
85,0
86,0
87,0
88,0
89,0
90,0
91,0
92,0
93,0
94,0
95,0
96,0
97,0
98,0
99,0
100,0.6
101,0.6
102,0.59
103,0.6
104,0.59
105,0.58
106,0.65
107,0.67
108,0.67
109,0.69
110,0.69
111,0.7
112,0.69
113,0.69
114,0.69
115,0.7
116,0.7
117,0.67
118,0.67
119,0.66
120,0.66
121,0.66
122,0.65
123,0.65
124,0.67
125,0.67
126,0.67
127,0.67
128,0.67
129,0.66
130,0.66
131,0.68
132,0.66
133,0.66
134,0.67
135,0.7
136,0.7
137,0.7
138,0.76
139,0.78
140,0.78
141,0.78
142,0.78
143,0.76
144,0.73
145,0.73
146,0.73
147,0.73
148,0.74
149,0.73
150,0.74
151,0.74
152,0.72
153,0.72
154,0.74
155,0.74
156,0.74
157,0.74
158,0.74
159,0.76
160,0.77
161,0.77
162,0.78
163,0.78
164,0.78
165,0.78
166,0.8
167,0.81
168,0.8
169,0.8
170,0.79
171,0.8
172,0.79
173,0.78
174,0.78
175,0.78
176,0.75
177,0.74
178,0.74
179,0.75
180,0.75
181,0.76
182,0.75
183,0.74
184,0.74
185,0.74
186,0.74
187,0.72
188,0.72
189,0.69
190,0.72
191,0.72
192,0.72
193,0.71
194,0.71
195,0.71
196,0.74
197,0.74
198,0.74
199,0.71
200,0.67
201,0.67
202,0.68
203,0.66
204,0.66
205,0.65
206,0.59
207,0.57
208,0.6
209,0.58
210,0.6
211,0.58
212,0.59
213,0.59
214,0.6
215,0.6
216,0.61
217,0.59
218,0.59
219,0.59
220,0.61
221,0.63
222,0.63
223,0.63
224,0.65
225,0.66
226,0.66
227,0.66
228,0.72
229,0.72
230,0.72
231,0.71
232,0.71
233,0.71
234,0.7
235,0.67
236,0.68
237,0.7
238,0.65
239,0.63
240,0.64
241,0.65
242,0.67
243,0.67
244,0.72
245,0.73
246,0.73
247,0.74
248,0.76
249,0.77
250,0.76
251,0.75
252,0.75
253,0.75
254,0.73
255,0.73
256,0.74
257,0.74
258,0.75
259,0.73
260,0.71
261,0.71
262,0.71
263,0.72
264,0.72
265,0.77
266,0.75
267,0.74
268,0.73
269,0.72
270,0.73
271,0.73
272,0.73
273,0.73
274,0.73
275,0.73
276,0.73
277,0.73
278,0.74
279,0.74
280,0.75
281,0.74
282,0.74
283,0.74
284,0.74
285,0.75
286,0.75
287,0.76
288,0.76
289,0.77
290,0.74
291,0.74
292,0.74
293,0.75
294,0.77
295,0.77
296,0.74
297,0.74
298,0.75
299,0.75
300,0.75
