Episode,Average Reward
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,0
19,0
20,0
21,0
22,0
23,0
24,0
25,0
26,0
27,0
28,0
29,0
30,0
31,0
32,0
33,0
34,0
35,0
36,0
37,0
38,0
39,0
40,0
41,0
42,0
43,0
44,0
45,0
46,0
47,0
48,0
49,0
50,0
51,0
52,0
53,0
54,0
55,0
56,0
57,0
58,0
59,0
60,0
61,0
62,0
63,0
64,0
65,0
66,0
67,0
68,0
69,0
70,0
71,0
72,0
73,0
74,0
75,0
76,0
77,0
78,0
79,0
80,0
81,0
82,0
83,0
84,0
85,0
86,0
87,0
88,0
89,0
90,0
91,0
92,0
93,0
94,0
95,0
96,0
97,0
98,0
99,0
100,32.788142857142844
101,32.077904761904755
102,32.28619047619047
103,32.03585714285714
104,31.98771428571428
105,32.53699999999999
106,32.03328571428571
107,32.22280952380952
108,32.2097619047619
109,32.00361904761905
110,31.38495238095238
111,31.35990476190476
112,31.18742857142857
113,31.37833333333333
114,32.30304761904761
115,32.34909523809523
116,32.42842857142857
117,32.50061904761905
118,32.14880952380952
119,32.0427619047619
120,32.22928571428571
121,32.18871428571428
122,31.90185714285714
123,32.38738095238094
124,32.0815238095238
125,32.02209523809523
126,32.06461904761904
127,32.364238095238086
128,32.21185714285713
129,32.11347619047618
130,32.45638095238094
131,32.55971428571428
132,32.49666666666666
133,32.95223809523809
134,33.30271428571428
135,34.29995238095238
136,34.11890476190476
137,34.85590476190475
138,34.859761904761896
139,34.91428571428571
140,34.82547619047619
141,34.93428571428571
142,34.12071428571428
143,34.2012857142857
144,34.71366666666666
145,35.04614285714285
146,35.17542857142857
147,35.22271428571428
148,35.74795238095238
149,35.73347619047618
150,35.74228571428571
151,35.66542857142856
152,35.413571428571416
153,34.860904761904756
154,35.280047619047615
155,35.288999999999994
156,35.17347619047619
157,35.15861904761905
158,35.28657142857142
159,38.09957142857142
160,38.192380952380944
161,37.69228571428571
162,38.83699999999999
163,38.51528571428571
164,37.377333333333326
165,37.374333333333325
166,37.373952380952375
167,38.07223809523808
168,37.60447619047618
169,37.49904761904761
170,37.4770476190476
171,38.01861904761903
172,38.406095238095226
173,38.4130476190476
174,38.44447619047618
175,38.389285714285705
176,39.03885714285714
177,40.16557142857142
178,40.35061904761904
179,40.3737619047619
180,40.349619047619036
181,40.336523809523804
182,40.65880952380951
183,40.55114285714285
184,40.39809523809522
185,38.99314285714285
186,38.95890476190475
187,38.61695238095238
188,38.58976190476189
189,38.730952380952374
190,39.0855238095238
191,40.79190476190476
192,40.56080952380952
193,40.56571428571428
194,40.275952380952376
195,40.2965238095238
196,40.01561904761904
197,40.341761904761896
198,41.13957142857141
199,40.969285714285704
200,40.089047619047605
201,39.97861904761904
202,39.937476190476175
203,39.92304761904761
204,39.93576190476189
205,39.60390476190476
206,39.25919047619047
207,39.093285714285706
208,38.9810476190476
209,38.63023809523808
210,39.4000476190476
211,40.402999999999984
212,41.00338095238094
213,40.80666666666666
214,39.9127619047619
215,39.919238095238086
216,40.27333333333332
217,40.27409523809522
218,40.23490476190475
219,41.222952380952364
220,40.80985714285713
221,40.89133333333332
222,41.965904761904746
223,41.62142857142856
224,41.944619047619035
225,42.38495238095237
226,42.36071428571427
227,42.281619047619046
228,43.76642857142856
229,44.11847619047617
230,43.879095238095225
231,44.25180952380951
232,44.21919047619046
233,43.760857142857134
234,44.07033333333333
235,43.031476190476184
236,43.30157142857142
237,42.39995238095237
238,43.079857142857136
239,43.6055238095238
240,43.423714285714276
241,42.848761904761886
242,43.56619047619047
243,44.00509523809523
244,44.279571428571415
245,43.92957142857143
246,43.888476190476176
247,43.825238095238085
248,43.11461904761904
249,43.55142857142856
250,43.4452857142857
251,43.63704761904761
252,43.995095238095224
253,43.90347619047617
254,43.56595238095236
255,44.417190476190456
256,43.73171428571426
257,43.91961904761904
258,44.20957142857141
259,41.361809523809505
260,41.532904761904746
261,43.0638095238095
262,41.99138095238093
263,42.164142857142835
264,42.45280952380951
265,42.494904761904735
266,42.31533333333332
267,41.689857142857136
268,41.676238095238084
269,42.152619047619034
270,42.289380952380945
271,42.1902857142857
272,41.896809523809516
273,42.22552380952379
274,41.90671428571427
275,42.10299999999998
276,41.428190476190466
277,40.50847619047617
278,40.24833333333333
279,39.734380952380945
280,40.460476190476186
281,40.62514285714285
282,40.19004761904761
283,41.452047619047605
284,41.45085714285714
285,41.79590476190475
286,41.857428571428564
287,41.86704761904761
288,42.007142857142846
289,42.374619047619035
290,41.87561904761905
291,39.95790476190476
292,39.77061904761904
293,40.049428571428564
294,40.6142857142857
295,40.67842857142856
296,41.58738095238095
297,41.48604761904761
298,40.592999999999996
299,40.57328571428571
300,41.102333333333334
