Episode,Average Reward
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,0
19,0
20,0
21,0
22,0
23,0
24,0
25,0
26,0
27,0
28,0
29,0
30,0
31,0
32,0
33,0
34,0
35,0
36,0
37,0
38,0
39,0
40,0
41,0
42,0
43,0
44,0
45,0
46,0
47,0
48,0
49,0
50,0
51,0
52,0
53,0
54,0
55,0
56,0
57,0
58,0
59,0
60,0
61,0
62,0
63,0
64,0
65,0
66,0
67,0
68,0
69,0
70,0
71,0
72,0
73,0
74,0
75,0
76,0
77,0
78,0
79,0
80,0
81,0
82,0
83,0
84,0
85,0
86,0
87,0
88,0
89,0
90,0
91,0
92,0
93,0
94,0
95,0
96,0
97,0
98,0
99,0
100,-0.8
101,-0.8
102,-0.82
103,-0.8
104,-0.82
105,-0.84
106,-0.7
107,-0.66
108,-0.66
109,-0.62
110,-0.62
111,-0.6
112,-0.62
113,-0.62
114,-0.62
115,-0.6
116,-0.6
117,-0.66
118,-0.66
119,-0.68
120,-0.68
121,-0.68
122,-0.7
123,-0.7
124,-0.66
125,-0.66
126,-0.66
127,-0.66
128,-0.66
129,-0.68
130,-0.68
131,-0.64
132,-0.68
133,-0.68
134,-0.66
135,-0.6
136,-0.6
137,-0.6
138,-0.48
139,-0.44
140,-0.44
141,-0.44
142,-0.44
143,-0.48
144,-0.54
145,-0.54
146,-0.54
147,-0.54
148,-0.52
149,-0.54
150,-0.52
151,-0.52
152,-0.56
153,-0.56
154,-0.52
155,-0.52
156,-0.52
157,-0.52
158,-0.52
159,-0.48
160,-0.46
161,-0.46
162,-0.44
163,-0.44
164,-0.44
165,-0.44
166,-0.4
167,-0.38
168,-0.4
169,-0.4
170,-0.42
171,-0.4
172,-0.42
173,-0.44
174,-0.44
175,-0.44
176,-0.5
177,-0.52
178,-0.52
179,-0.5
180,-0.5
181,-0.48
182,-0.5
183,-0.52
184,-0.52
185,-0.52
186,-0.52
187,-0.56
188,-0.56
189,-0.62
190,-0.56
191,-0.56
192,-0.56
193,-0.58
194,-0.58
195,-0.58
196,-0.52
197,-0.52
198,-0.52
199,-0.58
200,-0.66
201,-0.66
202,-0.64
203,-0.68
204,-0.68
205,-0.7
206,-0.82
207,-0.86
208,-0.8
209,-0.84
210,-0.8
211,-0.84
212,-0.82
213,-0.82
214,-0.8
215,-0.8
216,-0.78
217,-0.82
218,-0.82
219,-0.82
220,-0.78
221,-0.74
222,-0.74
223,-0.74
224,-0.7
225,-0.68
226,-0.68
227,-0.68
228,-0.56
229,-0.56
230,-0.56
231,-0.58
232,-0.58
233,-0.58
234,-0.6
235,-0.66
236,-0.64
237,-0.6
238,-0.7
239,-0.74
240,-0.72
241,-0.7
242,-0.66
243,-0.66
244,-0.56
245,-0.54
246,-0.54
247,-0.52
248,-0.48
249,-0.46
250,-0.48
251,-0.5
252,-0.5
253,-0.5
254,-0.54
255,-0.54
256,-0.52
257,-0.52
258,-0.5
259,-0.54
260,-0.58
261,-0.58
262,-0.58
263,-0.56
264,-0.56
265,-0.46
266,-0.5
267,-0.52
268,-0.54
269,-0.56
270,-0.54
271,-0.54
272,-0.54
273,-0.54
274,-0.54
275,-0.54
276,-0.54
277,-0.54
278,-0.52
279,-0.52
280,-0.5
281,-0.52
282,-0.52
283,-0.52
284,-0.52
285,-0.5
286,-0.5
287,-0.48
288,-0.48
289,-0.46
290,-0.52
291,-0.52
292,-0.52
293,-0.5
294,-0.46
295,-0.46
296,-0.52
297,-0.52
298,-0.5
299,-0.5
300,-0.5
