Episode,Average Paddle Hits
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,0
19,0
20,0
21,0
22,0
23,0
24,0
25,0
26,0
27,0
28,0
29,0
30,0
31,0
32,0
33,0
34,0
35,0
36,0
37,0
38,0
39,0
40,0
41,0
42,0
43,0
44,0
45,0
46,0
47,0
48,0
49,0
50,0
51,0
52,0
53,0
54,0
55,0
56,0
57,0
58,0
59,0
60,0
61,0
62,0
63,0
64,0
65,0
66,0
67,0
68,0
69,0
70,0
71,0
72,0
73,0
74,0
75,0
76,0
77,0
78,0
79,0
80,0
81,0
82,0
83,0
84,0
85,0
86,0
87,0
88,0
89,0
90,0
91,0
92,0
93,0
94,0
95,0
96,0
97,0
98,0
99,0
100,0.57
101,0.56
102,0.55
103,0.58
104,0.57
105,0.57
106,0.56
107,0.57
108,0.57
109,0.58
110,0.6
111,0.6
112,0.59
113,0.58
114,0.59
115,0.59
116,0.59
117,0.59
118,0.59
119,0.59
120,0.6
121,0.6
122,0.61
123,0.61
124,0.59
125,0.59
126,0.58
127,0.58
128,0.56
129,0.57
130,0.57
131,0.57
132,0.57
133,0.6
134,0.59
135,0.59
136,0.6
137,0.63
138,0.6
139,0.61
140,0.58
141,0.58
142,0.58
143,0.58
144,0.57
145,0.57
146,0.57
147,0.57
148,0.57
149,0.56
150,0.54
151,0.53
152,0.53
153,0.53
154,0.54
155,0.55
156,0.55
157,0.53
158,0.53
159,0.53
160,0.53
161,0.52
162,0.52
163,0.52
164,0.52
165,0.48
166,0.49
167,0.49
168,0.48
169,0.48
170,0.48
171,0.48
172,0.47
173,0.48
174,0.5
175,0.5
176,0.5
177,0.5
178,0.51
179,0.53
180,0.53
181,0.52
182,0.53
183,0.51
184,0.51
185,0.49
186,0.49
187,0.5
188,0.5
189,0.5
190,0.5
191,0.51
192,0.49
193,0.5
194,0.5
195,0.5
196,0.51
197,0.52
198,0.53
199,0.52
200,0.51
201,0.51
202,0.51
203,0.48
204,0.5
205,0.5
206,0.5
207,0.5
208,0.47
209,0.46
210,0.44
211,0.44
212,0.44
213,0.44
214,0.43
215,0.44
216,0.46
217,0.48
218,0.48
219,0.49
220,0.48
221,0.48
222,0.47
223,0.49
224,0.5
225,0.5
226,0.51
227,0.51
228,0.54
229,0.53
230,0.53
231,0.53
232,0.53
233,0.51
234,0.49
235,0.49
236,0.48
237,0.45
238,0.45
239,0.44
240,0.44
241,0.46
242,0.46
243,0.46
244,0.45
245,0.44
246,0.47
247,0.48
248,0.48
249,0.48
250,0.49
251,0.5
252,0.5
253,0.5
254,0.49
255,0.55
256,0.55
257,0.58
258,0.62
259,0.62
260,0.62
261,0.62
262,0.62
263,0.63
264,0.63
265,0.62
266,0.63
267,0.63
268,0.63
269,0.63
270,0.62
271,0.63
272,0.64
273,0.64
274,0.63
275,0.68
276,0.68
277,0.68
278,0.67
279,0.67
280,0.66
281,0.66
282,0.65
283,0.66
284,0.66
285,0.66
286,0.66
287,0.65
288,0.65
289,0.65
290,0.66
291,0.66
292,0.66
293,0.65
294,0.65
295,0.67
296,0.66
297,0.65
298,0.66
299,0.66
300,0.68
