Episode,Average Paddle Hits
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,0
19,0
20,0
21,0
22,0
23,0
24,0
25,0
26,0
27,0
28,0
29,0
30,0
31,0
32,0
33,0
34,0
35,0
36,0
37,0
38,0
39,0
40,0
41,0
42,0
43,0
44,0
45,0
46,0
47,0
48,0
49,0
50,0
51,0
52,0
53,0
54,0
55,0
56,0
57,0
58,0
59,0
60,0
61,0
62,0
63,0
64,0
65,0
66,0
67,0
68,0
69,0
70,0
71,0
72,0
73,0
74,0
75,0
76,0
77,0
78,0
79,0
80,0
81,0
82,0
83,0
84,0
85,0
86,0
87,0
88,0
89,0
90,0
91,0
92,0
93,0
94,0
95,0
96,0
97,0
98,0
99,0
100,0.54
101,0.52
102,0.52
103,0.51
104,0.55
105,0.54
106,0.54
107,0.53
108,0.54
109,0.54
110,0.54
111,0.53
112,0.55
113,0.55
114,0.59
115,0.6
116,0.6
117,0.6
118,0.6
119,0.6
120,0.6
121,0.62
122,0.62
123,0.6
124,0.6
125,0.6
126,0.58
127,0.58
128,0.59
129,0.59
130,0.59
131,0.59
132,0.6
133,0.61
134,0.64
135,0.62
136,0.64
137,0.64
138,0.64
139,0.63
140,0.64
141,0.64
142,0.67
143,0.67
144,0.67
145,0.67
146,0.68
147,0.66
148,0.66
149,0.65
150,0.67
151,0.67
152,0.7
153,0.7
154,0.7
155,0.69
156,0.74
157,0.74
158,0.72
159,0.73
160,0.73
161,0.73
162,0.72
163,0.72
164,0.71
165,0.7
166,0.7
167,0.7
168,0.7
169,0.69
170,0.67
171,0.67
172,0.65
173,0.65
174,0.65
175,0.66
176,0.66
177,0.67
178,0.67
179,0.7
180,0.68
181,0.65
182,0.66
183,0.66
184,0.66
185,0.64
186,0.64
187,0.64
188,0.63
189,0.62
190,0.62
191,0.62
192,0.62
193,0.62
194,0.6
195,0.57
196,0.56
197,0.55
198,0.57
199,0.56
200,0.56
201,0.56
202,0.57
203,0.58
204,0.54
205,0.55
206,0.59
207,0.59
208,0.59
209,0.59
210,0.61
211,0.61
212,0.58
213,0.59
214,0.55
215,0.55
216,0.55
217,0.55
218,0.57
219,0.58
220,0.58
221,0.57
222,0.57
223,0.6
224,0.65
225,0.65
226,0.66
227,0.69
228,0.7
229,0.71
230,0.72
231,0.74
232,0.74
233,0.73
234,0.7
235,0.7
236,0.7
237,0.7
238,0.7
239,0.71
240,0.7
241,0.7
242,0.68
243,0.67
244,0.67
245,0.67
246,0.67
247,0.66
248,0.67
249,0.66
250,0.64
251,0.64
252,0.61
253,0.62
254,0.63
255,0.63
256,0.58
257,0.58
258,0.58
259,0.59
260,0.59
261,0.59
262,0.59
263,0.59
264,0.61
265,0.61
266,0.61
267,0.63
268,0.63
269,0.65
270,0.66
271,0.68
272,0.68
273,0.68
274,0.68
275,0.69
276,0.69
277,0.67
278,0.69
279,0.66
280,0.66
281,0.66
282,0.65
283,0.65
284,0.64
285,0.64
286,0.64
287,0.63
288,0.63
289,0.62
290,0.63
291,0.64
292,0.64
293,0.64
294,0.65
295,0.66
296,0.67
297,0.67
298,0.64
299,0.66
300,0.66
