Episode,Average Reward
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,0
19,0
20,0
21,0
22,0
23,0
24,0
25,0
26,0
27,0
28,0
29,0
30,0
31,0
32,0
33,0
34,0
35,0
36,0
37,0
38,0
39,0
40,0
41,0
42,0
43,0
44,0
45,0
46,0
47,0
48,0
49,0
50,0
51,0
52,0
53,0
54,0
55,0
56,0
57,0
58,0
59,0
60,0
61,0
62,0
63,0
64,0
65,0
66,0
67,0
68,0
69,0
70,0
71,0
72,0
73,0
74,0
75,0
76,0
77,0
78,0
79,0
80,0
81,0
82,0
83,0
84,0
85,0
86,0
87,0
88,0
89,0
90,0
91,0
92,0
93,0
94,0
95,0
96,0
97,0
98,0
99,0
100,-0.92
101,-0.96
102,-0.96
103,-0.98
104,-0.9
105,-0.92
106,-0.92
107,-0.94
108,-0.92
109,-0.92
110,-0.92
111,-0.94
112,-0.9
113,-0.9
114,-0.82
115,-0.8
116,-0.8
117,-0.8
118,-0.8
119,-0.8
120,-0.8
121,-0.76
122,-0.76
123,-0.8
124,-0.8
125,-0.8
126,-0.84
127,-0.84
128,-0.82
129,-0.82
130,-0.82
131,-0.82
132,-0.8
133,-0.78
134,-0.72
135,-0.76
136,-0.72
137,-0.72
138,-0.72
139,-0.74
140,-0.72
141,-0.72
142,-0.66
143,-0.66
144,-0.66
145,-0.66
146,-0.64
147,-0.68
148,-0.68
149,-0.7
150,-0.66
151,-0.66
152,-0.6
153,-0.6
154,-0.6
155,-0.62
156,-0.52
157,-0.52
158,-0.56
159,-0.54
160,-0.54
161,-0.54
162,-0.56
163,-0.56
164,-0.58
165,-0.6
166,-0.6
167,-0.6
168,-0.6
169,-0.62
170,-0.66
171,-0.66
172,-0.7
173,-0.7
174,-0.7
175,-0.68
176,-0.68
177,-0.66
178,-0.66
179,-0.6
180,-0.64
181,-0.7
182,-0.68
183,-0.68
184,-0.68
185,-0.72
186,-0.72
187,-0.72
188,-0.74
189,-0.76
190,-0.76
191,-0.76
192,-0.76
193,-0.76
194,-0.8
195,-0.86
196,-0.88
197,-0.9
198,-0.86
199,-0.88
200,-0.88
201,-0.88
202,-0.86
203,-0.84
204,-0.92
205,-0.9
206,-0.82
207,-0.82
208,-0.82
209,-0.82
210,-0.78
211,-0.78
212,-0.84
213,-0.82
214,-0.9
215,-0.9
216,-0.9
217,-0.9
218,-0.86
219,-0.84
220,-0.84
221,-0.86
222,-0.86
223,-0.8
224,-0.7
225,-0.7
226,-0.68
227,-0.62
228,-0.6
229,-0.58
230,-0.56
231,-0.52
232,-0.52
233,-0.54
234,-0.6
235,-0.6
236,-0.6
237,-0.6
238,-0.6
239,-0.58
240,-0.6
241,-0.6
242,-0.64
243,-0.66
244,-0.66
245,-0.66
246,-0.66
247,-0.68
248,-0.66
249,-0.68
250,-0.72
251,-0.72
252,-0.78
253,-0.76
254,-0.74
255,-0.74
256,-0.84
257,-0.84
258,-0.84
259,-0.82
260,-0.82
261,-0.82
262,-0.82
263,-0.82
264,-0.78
265,-0.78
266,-0.78
267,-0.74
268,-0.74
269,-0.7
270,-0.68
271,-0.64
272,-0.64
273,-0.64
274,-0.64
275,-0.62
276,-0.62
277,-0.66
278,-0.62
279,-0.68
280,-0.68
281,-0.68
282,-0.7
283,-0.7
284,-0.72
285,-0.72
286,-0.72
287,-0.74
288,-0.74
289,-0.76
290,-0.74
291,-0.72
292,-0.72
293,-0.72
294,-0.7
295,-0.68
296,-0.66
297,-0.66
298,-0.72
299,-0.68
300,-0.68
