Episode,Time (seconds)
0,8.105831861495972
1,15.638545989990234
2,24.787957906723022
3,32.84230422973633
4,35.094661712646484
5,44.46822214126587
6,47.0235435962677
7,70.05454874038696
8,74.4562463760376
9,78.08114171028137
10,82.8041524887085
11,92.1651349067688
12,99.51121258735657
13,102.63582253456116
14,105.99428963661194
15,109.98092484474182
16,112.84495282173157
17,114.85019755363464
18,129.10851073265076
19,132.85958456993103
20,136.7207329273224
21,148.0663549900055
22,158.13520789146423
23,172.85779690742493
24,176.84438943862915
25,185.0294213294983
26,189.30949234962463
27,208.68230295181274
28,210.9908926486969
29,213.1384153366089
30,219.75506734848022
31,225.0725440979004
32,228.2400665283203
33,249.60970830917358
34,260.5979497432709
35,263.42143034935
36,266.5686135292053
37,290.3309805393219
38,295.42259883880615
39,317.03260493278503
40,320.65462827682495
41,324.27279710769653
42,326.83375310897827
43,340.134521484375
44,346.1606149673462
45,348.24054861068726
46,351.5837450027466
47,353.57061648368835
48,358.6644034385681
49,372.1967408657074
50,376.75321769714355
51,385.565274477005
52,393.1176791191101
53,395.45367980003357
54,400.49943685531616
55,416.4125077724457
56,437.9209249019623
57,440.3797788619995
58,442.9824016094208
59,448.1590919494629
60,457.27325987815857
61,463.2386984825134
62,478.32703161239624
63,481.26932168006897
64,520.4704315662384
65,522.708868265152
66,532.6513714790344
67,540.5526237487793
68,545.6810986995697
69,554.6505169868469
70,556.7743027210236
71,571.0906312465668
72,574.9306392669678
73,579.0645108222961
74,582.0880329608917
75,584.7448308467865
76,590.5657274723053
77,594.72199177742
78,598.0809564590454
79,605.3500690460205
80,616.0084595680237
81,618.1567182540894
82,632.1345539093018
83,635.1950418949127
84,665.9261472225189
85,668.0046036243439
86,676.6904780864716
87,679.1567628383636
88,681.4657099246979
89,692.3188190460205
90,696.2614624500275
91,712.0245716571808
92,714.0963366031647
93,724.366357088089
94,727.4805376529694
95,729.4894416332245
96,732.4037942886353
97,734.6256737709045
98,746.3256237506866
99,753.779205083847
100,755.4530704021454
101,757.9084556102753
102,785.0400803089142
103,788.0695080757141
104,790.957364320755
105,793.245157957077
106,806.251223564148
107,831.4521288871765
108,835.4490594863892
109,846.071706533432
110,850.0208249092102
111,852.8771483898163
112,861.5471308231354
113,869.1612448692322
114,873.2689747810364
115,876.2647721767426
116,878.9356582164764
117,882.7829267978668
118,886.7344567775726
119,897.8316512107849
120,901.6093900203705
121,905.7095217704773
122,911.2624981403351
123,914.0188207626343
124,918.023270368576
125,931.5681524276733
126,934.0433659553528
127,936.2294185161591
128,946.7395763397217
129,948.8395233154297
130,952.5117952823639
131,956.4325952529907
132,967.4602499008179
133,977.795116186142
134,988.7927496433258
135,999.0218508243561
136,1019.444712638855
137,1021.2558298110962
138,1025.8363296985626
139,1027.925998210907
140,1031.9516077041626
141,1033.7916178703308
142,1035.9102234840393
143,1044.890188217163
144,1057.9145147800446
145,1059.4581258296967
146,1060.9827728271484
147,1064.693250656128
148,1066.236466884613
149,1068.238688468933
150,1072.1635870933533
151,1077.25732588768
152,1078.9799535274506
153,1083.7945878505707
154,1093.458857536316
155,1098.5861012935638
156,1103.5490038394928
157,1106.233001947403
158,1109.4329051971436
159,1111.7584307193756
160,1113.129614830017
161,1115.3899941444397
162,1117.6802172660828
163,1122.1356842517853
164,1128.7165219783783
165,1134.9674792289734
166,1140.5559952259064
167,1143.3178176879883
168,1152.0468497276306
169,1158.1905241012573
170,1161.10582280159
171,1163.5001103878021
172,1170.8924446105957
173,1181.3902173042297
174,1189.7131741046906
175,1194.8728594779968
176,1197.6920931339264
177,1205.32781124115
178,1220.4510865211487
179,1223.9942047595978
180,1226.1598954200745
181,1230.942745923996
182,1235.590137720108
183,1241.3339807987213
184,1246.1986362934113
185,1247.7168009281158
186,1256.3536942005157
187,1257.8136503696442
188,1259.3015439510345
189,1261.2164287567139
190,1270.134325504303
191,1272.1629552841187
192,1277.720381975174
193,1280.609555721283
194,1283.777315378189
195,1287.764526605606
196,1292.6728332042694
197,1305.6771275997162
198,1308.0813827514648
199,1309.8341913223267
200,1311.5163633823395
201,1312.9452543258667
202,1319.285725593567
203,1326.743726015091
204,1328.717280626297
205,1331.5491700172424
206,1336.929354429245
207,1338.4351065158844
208,1342.5998096466064
209,1344.7366914749146
210,1346.0288631916046
211,1351.1885499954224
212,1353.4655420780182
213,1355.5038862228394
214,1367.2188549041748
215,1379.9694089889526
216,1388.0671553611755
217,1390.9082860946655
218,1398.1662330627441
219,1400.8710055351257
220,1402.5989518165588
221,1404.567779302597
222,1420.8555979728699
223,1427.8163177967072
224,1431.2677936553955
225,1434.7921550273895
226,1436.6520047187805
227,1452.8846616744995
228,1457.8052427768707
229,1460.1135869026184
230,1461.8130028247833
231,1463.4947032928467
232,1476.637191772461
233,1478.482280254364
234,1485.9533002376556
235,1490.9265804290771
236,1492.7307796478271
237,1494.738998889923
238,1497.519009590149
239,1500.1050844192505
240,1519.8673303127289
241,1522.695081949234
242,1525.476586341858
243,1527.8665165901184
244,1530.7183384895325
245,1547.9382674694061
246,1554.1916146278381
247,1555.780767440796
248,1558.033387184143
249,1567.2472476959229
250,1571.3353323936462
251,1574.2602746486664
252,1578.9313170909882
253,1580.6031348705292
254,1607.0305268764496
255,1611.287885427475
256,1633.5610702037811
257,1655.8698778152466
258,1658.7366971969604
259,1661.0799000263214
260,1663.3688530921936
261,1665.3680939674377
262,1674.4009392261505
263,1679.058744430542
264,1680.5113248825073
265,1689.9446890354156
266,1701.955129623413
267,1704.6085076332092
268,1708.3524310588837
269,1709.7667071819305
270,1716.6711773872375
271,1723.8980271816254
272,1728.3274121284485
