Episode,Average Paddle Hits
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,0
19,0
20,0
21,0
22,0
23,0
24,0
25,0
26,0
27,0
28,0
29,0
30,0
31,0
32,0
33,0
34,0
35,0
36,0
37,0
38,0
39,0
40,0
41,0
42,0
43,0
44,0
45,0
46,0
47,0
48,0
49,0
50,0
51,0
52,0
53,0
54,0
55,0
56,0
57,0
58,0
59,0
60,0
61,0
62,0
63,0
64,0
65,0
66,0
67,0
68,0
69,0
70,0
71,0
72,0
73,0
74,0
75,0
76,0
77,0
78,0
79,0
80,0
81,0
82,0
83,0
84,0
85,0
86,0
87,0
88,0
89,0
90,0
91,0
92,0
93,0
94,0
95,0
96,0
97,0
98,0
99,0
100,0.66
101,0.66
102,0.62
103,0.64
104,0.63
105,0.63
106,0.64
107,0.66
108,0.7
109,0.67
110,0.66
111,0.66
112,0.67
113,0.68
114,0.65
115,0.65
116,0.66
117,0.66
118,0.64
119,0.66
120,0.66
121,0.66
122,0.66
123,0.66
124,0.65
125,0.66
126,0.65
127,0.66
128,0.65
129,0.63
130,0.63
131,0.63
132,0.62
133,0.61
134,0.61
135,0.61
136,0.61
137,0.61
138,0.58
139,0.57
140,0.57
141,0.57
142,0.57
143,0.56
144,0.56
145,0.55
146,0.54
147,0.54
148,0.54
149,0.54
150,0.53
151,0.51
152,0.53
153,0.52
154,0.53
155,0.55
156,0.55
157,0.55
158,0.57
159,0.55
160,0.57
161,0.58
162,0.57
163,0.57
164,0.57
165,0.57
166,0.59
167,0.59
168,0.6
169,0.62
170,0.59
171,0.58
172,0.59
173,0.58
174,0.58
175,0.58
176,0.57
177,0.57
178,0.56
179,0.55
180,0.55
181,0.58
182,0.57
183,0.56
184,0.56
185,0.56
186,0.56
187,0.54
188,0.56
189,0.56
190,0.52
191,0.52
192,0.5
193,0.49
194,0.49
195,0.5
196,0.49
197,0.49
198,0.49
199,0.5
200,0.5
201,0.5
202,0.51
203,0.49
204,0.51
205,0.48
206,0.47
207,0.45
208,0.41
209,0.41
210,0.43
211,0.43
212,0.42
213,0.41
214,0.41
215,0.42
216,0.41
217,0.41
218,0.39
