Episode,Average Paddle Hits
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,0
19,0
20,0
21,0
22,0
23,0
24,0
25,0
26,0
27,0
28,0
29,0
30,0
31,0
32,0
33,0
34,0
35,0
36,0
37,0
38,0
39,0
40,0
41,0
42,0
43,0
44,0
45,0
46,0
47,0
48,0
49,0
50,0
51,0
52,0
53,0
54,0
55,0
56,0
57,0
58,0
59,0
60,0
61,0
62,0
63,0
64,0
65,0
66,0
67,0
68,0
69,0
70,0
71,0
72,0
73,0
74,0
75,0
76,0
77,0
78,0
79,0
80,0
81,0
82,0
83,0
84,0
85,0
86,0
87,0
88,0
89,0
90,0
91,0
92,0
93,0
94,0
95,0
96,0
97,0
98,0
99,0
100,0.55
101,0.52
102,0.52
103,0.53
104,0.55
105,0.53
106,0.53
107,0.53
108,0.54
109,0.54
110,0.54
111,0.54
112,0.58
113,0.58
114,0.57
115,0.57
116,0.56
117,0.53
118,0.53
119,0.54
120,0.53
121,0.54
122,0.55
123,0.54
124,0.55
125,0.54
126,0.53
127,0.52
128,0.56
129,0.54
130,0.53
131,0.53
132,0.53
133,0.49
134,0.49
135,0.49
136,0.49
137,0.49
138,0.5
139,0.5
140,0.5
141,0.5
142,0.49
143,0.49
144,0.48
145,0.49
146,0.49
147,0.47
148,0.47
149,0.47
150,0.46
151,0.45
152,0.46
153,0.46
154,0.46
155,0.43
156,0.45
157,0.45
158,0.44
159,0.44
160,0.45
161,0.45
162,0.42
163,0.42
164,0.42
165,0.44
166,0.45
167,0.45
168,0.48
169,0.49
170,0.51
171,0.51
172,0.51
173,0.53
174,0.53
175,0.53
176,0.54
177,0.54
178,0.54
179,0.54
180,0.54
181,0.55
182,0.55
183,0.56
184,0.56
185,0.57
186,0.57
187,0.59
188,0.59
189,0.59
190,0.61
191,0.59
192,0.59
193,0.6
194,0.62
195,0.62
196,0.61
197,0.6
198,0.61
199,0.62
200,0.62
201,0.62
202,0.61
203,0.61
204,0.59
205,0.61
206,0.63
207,0.63
208,0.61
209,0.63
210,0.65
211,0.65
212,0.62
213,0.63
214,0.64
215,0.64
216,0.64
217,0.64
218,0.64
