Episode,Average Reward
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,0
19,0
20,0
21,0
22,0
23,0
24,0
25,0
26,0
27,0
28,0
29,0
30,0
31,0
32,0
33,0
34,0
35,0
36,0
37,0
38,0
39,0
40,0
41,0
42,0
43,0
44,0
45,0
46,0
47,0
48,0
49,0
50,0
51,0
52,0
53,0
54,0
55,0
56,0
57,0
58,0
59,0
60,0
61,0
62,0
63,0
64,0
65,0
66,0
67,0
68,0
69,0
70,0
71,0
72,0
73,0
74,0
75,0
76,0
77,0
78,0
79,0
80,0
81,0
82,0
83,0
84,0
85,0
86,0
87,0
88,0
89,0
90,0
91,0
92,0
93,0
94,0
95,0
96,0
97,0
98,0
99,0
100,-0.66
101,-0.68
102,-0.64
103,-0.64
104,-0.64
105,-0.64
106,-0.64
107,-0.64
108,-0.68
109,-0.68
110,-0.68
111,-0.7
112,-0.72
113,-0.72
114,-0.7
115,-0.7
116,-0.7
117,-0.7
118,-0.7
119,-0.72
120,-0.72
121,-0.72
122,-0.7
123,-0.74
124,-0.78
125,-0.78
126,-0.8
127,-0.8
128,-0.8
129,-0.82
130,-0.78
131,-0.76
132,-0.72
133,-0.72
134,-0.7
135,-0.7
136,-0.74
137,-0.7
138,-0.7
139,-0.76
140,-0.78
141,-0.8
142,-0.8
143,-0.84
144,-0.82
145,-0.84
146,-0.86
147,-0.86
148,-0.9
149,-0.9
150,-0.92
151,-0.92
152,-0.88
153,-0.88
154,-0.88
155,-0.88
156,-0.94
157,-0.94
158,-0.94
159,-0.92
160,-0.92
161,-0.94
162,-0.96
163,-1.0
164,-1.0
165,-0.98
166,-1.0
167,-1.02
168,-1.02
169,-1.0
170,-1.0
171,-1.0
172,-1.02
173,-1.02
174,-1.0
175,-0.98
176,-1.0
177,-1.0
178,-1.06
179,-1.06
180,-1.04
181,-1.02
182,-1.04
183,-1.04
184,-1.02
185,-1.02
186,-1.02
187,-0.98
188,-0.9
189,-0.9
190,-0.94
191,-0.94
192,-0.94
193,-0.92
194,-0.88
195,-0.9
196,-0.94
197,-0.92
198,-0.96
199,-0.94
200,-0.94
201,-0.94
