Episode,Average Paddle Hits
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,0
19,0
20,0
21,0
22,0
23,0
24,0
25,0
26,0
27,0
28,0
29,0
30,0
31,0
32,0
33,0
34,0
35,0
36,0
37,0
38,0
39,0
40,0
41,0
42,0
43,0
44,0
45,0
46,0
47,0
48,0
49,0
50,0
51,0
52,0
53,0
54,0
55,0
56,0
57,0
58,0
59,0
60,0
61,0
62,0
63,0
64,0
65,0
66,0
67,0
68,0
69,0
70,0
71,0
72,0
73,0
74,0
75,0
76,0
77,0
78,0
79,0
80,0
81,0
82,0
83,0
84,0
85,0
86,0
87,0
88,0
89,0
90,0
91,0
92,0
93,0
94,0
95,0
96,0
97,0
98,0
99,0
100,0.47
101,0.48
102,0.5
103,0.5
104,0.51
105,0.51
106,0.51
107,0.52
108,0.52
109,0.53
110,0.5
111,0.5
112,0.51
113,0.51
114,0.51
115,0.51
116,0.52
117,0.52
118,0.54
119,0.53
120,0.52
121,0.53
122,0.53
123,0.53
124,0.53
125,0.53
126,0.53
127,0.52
128,0.52
129,0.53
130,0.52
131,0.52
132,0.52
133,0.56
134,0.56
135,0.56
136,0.56
137,0.57
138,0.59
139,0.59
140,0.56
141,0.58
142,0.61
143,0.62
144,0.62
145,0.64
146,0.68
147,0.68
148,0.68
149,0.71
150,0.7
151,0.7
152,0.71
153,0.71
154,0.7
155,0.7
156,0.73
157,0.75
158,0.75
159,0.76
160,0.76
161,0.76
162,0.76
163,0.76
164,0.75
165,0.73
166,0.73
167,0.71
168,0.7
169,0.71
170,0.69
171,0.73
172,0.72
173,0.71
174,0.69
175,0.69
176,0.69
177,0.7
178,0.7
179,0.69
180,0.67
181,0.68
182,0.69
183,0.72
184,0.72
185,0.73
186,0.73
187,0.73
188,0.72
189,0.72
190,0.72
191,0.73
192,0.72
193,0.74
194,0.77
195,0.77
196,0.78
197,0.77
198,0.76
199,0.78
200,0.78
201,0.77
202,0.75
203,0.74
204,0.73
205,0.73
206,0.73
207,0.73
208,0.73
209,0.73
210,0.73
211,0.74
212,0.73
213,0.75
214,0.76
215,0.76
216,0.74
217,0.73
218,0.74
