Episode,Average Paddle Hits
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,0
19,0
20,0
21,0
22,0
23,0
24,0
25,0
26,0
27,0
28,0
29,0
30,0
31,0
32,0
33,0
34,0
35,0
36,0
37,0
38,0
39,0
40,0
41,0
42,0
43,0
44,0
45,0
46,0
47,0
48,0
49,0
50,0
51,0
52,0
53,0
54,0
55,0
56,0
57,0
58,0
59,0
60,0
61,0
62,0
63,0
64,0
65,0
66,0
67,0
68,0
69,0
70,0
71,0
72,0
73,0
74,0
75,0
76,0
77,0
78,0
79,0
80,0
81,0
82,0
83,0
84,0
85,0
86,0
87,0
88,0
89,0
90,0
91,0
92,0
93,0
94,0
95,0
96,0
97,0
98,0
99,0
100,0.57
101,0.54
102,0.52
103,0.55
104,0.55
105,0.54
106,0.54
107,0.54
108,0.54
109,0.54
110,0.53
111,0.53
112,0.52
113,0.52
114,0.52
115,0.52
116,0.51
117,0.51
118,0.51
119,0.52
120,0.51
121,0.52
122,0.52
123,0.49
124,0.49
125,0.49
126,0.48
127,0.47
128,0.47
129,0.46
130,0.46
131,0.45
132,0.45
133,0.45
134,0.42
135,0.42
136,0.46
137,0.46
138,0.45
139,0.45
140,0.44
141,0.44
142,0.45
143,0.46
144,0.46
145,0.47
146,0.46
147,0.46
148,0.46
149,0.45
150,0.45
151,0.45
152,0.44
153,0.46
154,0.46
155,0.46
156,0.45
157,0.45
158,0.45
159,0.45
160,0.45
161,0.44
162,0.45
163,0.47
164,0.45
165,0.43
166,0.44
167,0.44
168,0.45
169,0.42
170,0.43
171,0.43
172,0.43
173,0.45
174,0.47
175,0.47
176,0.43
177,0.43
178,0.42
179,0.43
180,0.42
181,0.42
182,0.41
183,0.42
184,0.44
185,0.44
186,0.44
187,0.44
188,0.44
189,0.45
190,0.45
191,0.47
192,0.47
193,0.47
194,0.46
195,0.46
196,0.47
197,0.51
198,0.49
199,0.47
200,0.48
201,0.52
202,0.53
203,0.5
204,0.51
205,0.52
206,0.52
207,0.52
208,0.52
209,0.53
210,0.53
211,0.55
212,0.55
213,0.57
214,0.57
215,0.57
216,0.57
217,0.57
218,0.57
