Episode,Average Paddle Hits
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,0
19,0
20,0
21,0
22,0
23,0
24,0
25,0
26,0
27,0
28,0
29,0
30,0
31,0
32,0
33,0
34,0
35,0
36,0
37,0
38,0
39,0
40,0
41,0
42,0
43,0
44,0
45,0
46,0
47,0
48,0
49,0
50,0
51,0
52,0
53,0
54,0
55,0
56,0
57,0
58,0
59,0
60,0
61,0
62,0
63,0
64,0
65,0
66,0
67,0
68,0
69,0
70,0
71,0
72,0
73,0
74,0
75,0
76,0
77,0
78,0
79,0
80,0
81,0
82,0
83,0
84,0
85,0
86,0
87,0
88,0
89,0
90,0
91,0
92,0
93,0
94,0
95,0
96,0
97,0
98,0
99,0
100,0.56
101,0.56
102,0.56
103,0.57
104,0.6
105,0.59
106,0.59
107,0.59
108,0.6
109,0.6
110,0.64
111,0.63
112,0.67
113,0.69
114,0.68
115,0.68
116,0.67
117,0.67
118,0.67
119,0.67
120,0.66
121,0.65
122,0.65
123,0.66
124,0.62
125,0.6
126,0.57
127,0.57
128,0.56
129,0.56
130,0.56
131,0.57
132,0.55
133,0.55
134,0.55
135,0.55
136,0.54
137,0.55
138,0.55
139,0.58
140,0.57
141,0.56
142,0.55
143,0.55
144,0.56
145,0.57
146,0.57
147,0.58
148,0.59
149,0.59
150,0.59
151,0.58
152,0.57
153,0.6
154,0.6
155,0.6
156,0.6
157,0.6
158,0.6
159,0.6
160,0.61
161,0.6
162,0.62
163,0.63
164,0.63
165,0.62
166,0.64
167,0.66
168,0.67
169,0.66
170,0.64
171,0.64
172,0.64
173,0.63
174,0.64
175,0.64
176,0.64
177,0.64
178,0.64
179,0.67
180,0.66
181,0.65
182,0.66
183,0.66
184,0.67
185,0.67
186,0.67
187,0.67
188,0.66
189,0.67
190,0.66
191,0.63
192,0.63
193,0.63
194,0.62
195,0.61
196,0.61
197,0.63
198,0.63
199,0.64
200,0.63
201,0.64
202,0.64
203,0.64
204,0.61
205,0.61
206,0.61
207,0.62
208,0.61
209,0.62
210,0.65
211,0.65
212,0.63
213,0.62
214,0.62
215,0.62
216,0.62
217,0.62
218,0.62
