Episode,Average Reward
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,0
19,0
20,0
21,0
22,0
23,0
24,0
25,0
26,0
27,0
28,0
29,0
30,0
31,0
32,0
33,0
34,0
35,0
36,0
37,0
38,0
39,0
40,0
41,0
42,0
43,0
44,0
45,0
46,0
47,0
48,0
49,0
50,0
51,0
52,0
53,0
54,0
55,0
56,0
57,0
58,0
59,0
60,0
61,0
62,0
63,0
64,0
65,0
66,0
67,0
68,0
69,0
70,0
71,0
72,0
73,0
74,0
75,0
76,0
77,0
78,0
79,0
80,0
81,0
82,0
83,0
84,0
85,0
86,0
87,0
88,0
89,0
90,0
91,0
92,0
93,0
94,0
95,0
96,0
97,0
98,0
99,0
100,32.138857142857134
101,32.140380952380944
102,32.74395238095237
103,33.08642857142857
104,33.52871428571428
105,33.55838095238094
106,33.93695238095237
107,34.13304761904761
108,33.75928571428571
109,33.95080952380952
110,34.90628571428571
111,34.75614285714285
112,34.87180952380952
113,34.58042857142856
114,35.22666666666666
115,35.27042857142857
116,35.25404761904761
117,35.99519047619047
118,36.24738095238095
119,38.334285714285706
120,38.286047619047615
121,37.643333333333324
122,37.83085714285714
123,37.77014285714286
124,37.83380952380953
125,37.760523809523804
126,37.99209523809523
127,37.40252380952381
128,37.4487619047619
129,37.54480952380952
130,37.65757142857143
131,37.154238095238085
132,37.513952380952375
133,37.641619047619045
134,37.68138095238095
135,37.48614285714285
136,37.17014285714286
137,36.681904761904754
138,36.66942857142857
139,36.7997619047619
140,35.68619047619047
141,35.066333333333326
142,35.02019047619047
143,34.974714285714285
144,36.14985714285714
145,36.17433333333334
146,36.01561904761904
147,35.8405238095238
148,35.657142857142844
149,35.4937619047619
150,35.37271428571428
151,35.412
152,35.42504761904761
153,35.234095238095236
154,35.47519047619047
155,35.619428571428564
156,36.11828571428571
157,36.43404761904761
158,36.335095238095235
159,36.330238095238094
160,36.302428571428564
161,36.7275238095238
162,36.68833333333333
163,37.405380952380945
164,37.25004761904761
165,37.77947619047618
166,36.61928571428571
167,36.524761904761895
168,36.603714285714275
169,36.48480952380952
170,36.257619047619045
171,35.72619047619047
