Episode,Average Reward
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,0
19,0
20,0
21,0
22,0
23,0
24,0
25,0
26,0
27,0
28,0
29,0
30,0
31,0
32,0
33,0
34,0
35,0
36,0
37,0
38,0
39,0
40,0
41,0
42,0
43,0
44,0
45,0
46,0
47,0
48,0
49,0
50,0
51,0
52,0
53,0
54,0
55,0
56,0
57,0
58,0
59,0
60,0
61,0
62,0
63,0
64,0
65,0
66,0
67,0
68,0
69,0
70,0
71,0
72,0
73,0
74,0
75,0
76,0
77,0
78,0
79,0
80,0
81,0
82,0
83,0
84,0
85,0
86,0
87,0
88,0
89,0
90,0
91,0
92,0
93,0
94,0
95,0
96,0
97,0
98,0
99,0
100,-0.88
101,-0.88
102,-0.88
103,-0.86
104,-0.8
105,-0.82
106,-0.82
107,-0.82
108,-0.8
109,-0.8
110,-0.72
111,-0.74
112,-0.66
113,-0.62
114,-0.64
115,-0.64
116,-0.66
117,-0.66
118,-0.66
119,-0.66
120,-0.68
121,-0.7
122,-0.7
123,-0.68
124,-0.76
125,-0.8
126,-0.86
127,-0.86
128,-0.88
129,-0.88
130,-0.88
131,-0.86
132,-0.9
133,-0.9
134,-0.9
135,-0.9
136,-0.92
137,-0.9
138,-0.9
139,-0.84
140,-0.86
141,-0.88
142,-0.9
143,-0.9
144,-0.88
145,-0.86
146,-0.86
147,-0.84
148,-0.82
149,-0.82
150,-0.82
151,-0.84
152,-0.86
153,-0.8
154,-0.8
155,-0.8
156,-0.8
157,-0.8
158,-0.8
159,-0.8
160,-0.78
161,-0.8
162,-0.76
163,-0.74
164,-0.74
165,-0.76
166,-0.72
167,-0.68
168,-0.66
169,-0.68
170,-0.72
171,-0.72
172,-0.72
173,-0.74
174,-0.72
175,-0.72
176,-0.72
177,-0.72
178,-0.72
179,-0.66
180,-0.68
181,-0.7
182,-0.68
183,-0.68
184,-0.66
185,-0.66
186,-0.66
187,-0.66
188,-0.68
189,-0.66
190,-0.68
191,-0.74
192,-0.74
193,-0.74
194,-0.76
195,-0.78
196,-0.78
197,-0.74
198,-0.74
199,-0.72
200,-0.74
201,-0.72
