Episode,Average Paddle Hits
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,0
19,0
20,0
21,0
22,0
23,0
24,0
25,0
26,0
27,0
28,0
29,0
30,0
31,0
32,0
33,0
34,0
35,0
36,0
37,0
38,0
39,0
40,0
41,0
42,0
43,0
44,0
45,0
46,0
47,0
48,0
49,0
50,0
51,0
52,0
53,0
54,0
55,0
56,0
57,0
58,0
59,0
60,0
61,0
62,0
63,0
64,0
65,0
66,0
67,0
68,0
69,0
70,0
71,0
72,0
73,0
74,0
75,0
76,0
77,0
78,0
79,0
80,0
81,0
82,0
83,0
84,0
85,0
86,0
87,0
88,0
89,0
90,0
91,0
92,0
93,0
94,0
95,0
96,0
97,0
98,0
99,0
100,0.46
101,0.46
102,0.47
103,0.48
104,0.48
105,0.47
106,0.45
107,0.45
108,0.46
109,0.46
110,0.46
111,0.46
112,0.46
113,0.47
114,0.48
115,0.5
116,0.5
117,0.54
118,0.53
119,0.55
120,0.54
121,0.54
122,0.54
123,0.55
124,0.56
125,0.57
126,0.57
127,0.59
128,0.6
129,0.65
130,0.66
131,0.67
132,0.68
133,0.69
134,0.69
135,0.69
136,0.73
137,0.71
138,0.7
139,0.7
140,0.71
141,0.71
142,0.7
143,0.71
144,0.71
145,0.71
146,0.71
147,0.73
148,0.74
149,0.74
150,0.76
151,0.77
152,0.75
153,0.75
154,0.76
155,0.84
156,0.84
157,0.83
158,0.83
159,0.79
160,0.77
161,0.77
162,0.77
163,0.77
164,0.77
165,0.77
166,0.77
167,0.78
168,0.78
169,0.8
170,0.83
171,0.85
172,0.87
173,0.89
174,0.88
175,0.88
176,0.88
177,0.84
178,0.83
179,0.82
180,0.82
181,0.85
182,0.87
183,0.88
184,0.85
185,0.85
186,0.85
187,0.85
188,0.86
189,0.87
190,0.92
191,0.93
192,0.91
193,0.91
194,0.91
195,0.92
196,0.95
197,0.97
198,1.01
199,1.01
200,1.01
201,1.01
202,1.01
203,1.0
204,1.01
205,1.02
206,1.05
207,1.05
208,1.06
209,1.06
210,1.07
211,1.07
212,1.07
213,1.06
214,1.06
215,1.04
216,1.06
217,1.03
218,1.04
