Episode,Average Paddle Hits
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,0
19,0
20,0
21,0
22,0
23,0
24,0
25,0
26,0
27,0
28,0
29,0
30,0
31,0
32,0
33,0
34,0
35,0
36,0
37,0
38,0
39,0
40,0
41,0
42,0
43,0
44,0
45,0
46,0
47,0
48,0
49,0
50,0
51,0
52,0
53,0
54,0
55,0
56,0
57,0
58,0
59,0
60,0
61,0
62,0
63,0
64,0
65,0
66,0
67,0
68,0
69,0
70,0
71,0
72,0
73,0
74,0
75,0
76,0
77,0
78,0
79,0
80,0
81,0
82,0
83,0
84,0
85,0
86,0
87,0
88,0
89,0
90,0
91,0
92,0
93,0
94,0
95,0
96,0
97,0
98,0
99,0
100,0.39
101,0.39
102,0.39
103,0.39
104,0.4
105,0.4
106,0.42
107,0.41
108,0.41
109,0.4
110,0.41
111,0.42
112,0.42
113,0.43
114,0.43
115,0.45
116,0.46
117,0.47
118,0.46
119,0.46
120,0.45
121,0.47
122,0.48
123,0.48
124,0.48
125,0.47
126,0.47
127,0.45
128,0.45
129,0.44
130,0.43
131,0.43
132,0.43
133,0.4
134,0.41
135,0.41
136,0.41
137,0.41
138,0.41
139,0.41
140,0.41
141,0.4
142,0.39
143,0.39
144,0.39
145,0.4
146,0.4
147,0.39
148,0.39
149,0.39
150,0.39
151,0.39
152,0.33
153,0.33
154,0.32
155,0.33
156,0.33
157,0.33
158,0.32
159,0.29
160,0.29
161,0.28
162,0.28
163,0.28
164,0.28
165,0.28
166,0.3
167,0.31
168,0.31
169,0.31
170,0.32
171,0.34
172,0.34
173,0.34
174,0.34
175,0.34
176,0.35
177,0.35
178,0.37
179,0.37
180,0.37
181,0.37
182,0.36
183,0.36
184,0.36
185,0.37
186,0.37
187,0.37
188,0.37
189,0.36
190,0.36
191,0.36
192,0.38
193,0.38
194,0.38
195,0.38
196,0.38
197,0.38
198,0.39
199,0.39
200,0.39
201,0.41
202,0.42
203,0.42
204,0.41
205,0.43
206,0.41
207,0.41
208,0.41
209,0.41
210,0.39
211,0.39
212,0.39
213,0.38
214,0.38
215,0.36
216,0.37
217,0.38
218,0.38
219,0.38
220,0.38
221,0.36
222,0.35
223,0.35
224,0.36
225,0.36
226,0.36
227,0.36
228,0.4
229,0.4
230,0.42
231,0.42
232,0.44
233,0.45
234,0.44
235,0.44
236,0.44
237,0.44
238,0.44
239,0.45
240,0.45
241,0.46
242,0.46
243,0.46
244,0.46
245,0.45
246,0.44
247,0.43
248,0.43
249,0.43
250,0.43
251,0.44
252,0.45
253,0.45
254,0.45
255,0.44
256,0.44
257,0.44
258,0.45
259,0.45
260,0.45
261,0.45
262,0.46
263,0.47
264,0.48
265,0.47
266,0.44
267,0.43
268,0.43
269,0.43
270,0.42
271,0.4
272,0.41
273,0.4
274,0.4
275,0.4
276,0.39
277,0.39
278,0.37
279,0.37
280,0.37
281,0.37
282,0.36
283,0.36
284,0.36
285,0.34
286,0.35
287,0.35
288,0.35
289,0.35
290,0.35
291,0.36
292,0.34
293,0.35
294,0.35
295,0.34
296,0.34
297,0.34
298,0.33
299,0.33
300,0.33
