Episode,Average Paddle Hits
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,0
19,0
20,0
21,0
22,0
23,0
24,0
25,0
26,0
27,0
28,0
29,0
30,0
31,0
32,0
33,0
34,0
35,0
36,0
37,0
38,0
39,0
40,0
41,0
42,0
43,0
44,0
45,0
46,0
47,0
48,0
49,0
50,0
51,0
52,0
53,0
54,0
55,0
56,0
57,0
58,0
59,0
60,0
61,0
62,0
63,0
64,0
65,0
66,0
67,0
68,0
69,0
70,0
71,0
72,0
73,0
74,0
75,0
76,0
77,0
78,0
79,0
80,0
81,0
82,0
83,0
84,0
85,0
86,0
87,0
88,0
89,0
90,0
91,0
92,0
93,0
94,0
95,0
96,0
97,0
98,0
99,0
100,0.51
101,0.51
102,0.51
103,0.53
104,0.5
105,0.5
106,0.5
107,0.5
108,0.5
109,0.5
110,0.5
111,0.48
112,0.47
113,0.48
114,0.48
115,0.51
116,0.51
117,0.51
118,0.54
119,0.54
120,0.53
121,0.52
122,0.51
123,0.51
124,0.53
125,0.54
126,0.53
127,0.53
128,0.53
129,0.53
130,0.54
131,0.55
132,0.54
133,0.55
134,0.55
135,0.55
136,0.55
137,0.55
138,0.55
139,0.55
140,0.55
141,0.56
142,0.57
143,0.57
144,0.56
145,0.56
146,0.56
147,0.56
148,0.56
149,0.56
150,0.6
151,0.6
152,0.6
153,0.61
154,0.6
155,0.58
156,0.55
157,0.54
158,0.56
159,0.55
160,0.55
161,0.58
162,0.58
163,0.58
164,0.57
165,0.57
166,0.56
167,0.56
168,0.57
169,0.61
170,0.65
171,0.65
172,0.65
173,0.65
174,0.67
175,0.65
176,0.65
177,0.67
178,0.66
179,0.66
180,0.66
181,0.65
182,0.64
183,0.61
184,0.61
185,0.63
186,0.64
187,0.64
188,0.58
189,0.57
190,0.57
191,0.57
192,0.56
193,0.56
194,0.55
195,0.57
196,0.57
197,0.56
198,0.54
199,0.54
200,0.54
201,0.56
202,0.56
203,0.55
204,0.56
205,0.57
206,0.57
207,0.57
208,0.58
209,0.59
210,0.63
211,0.63
212,0.64
213,0.64
214,0.64
215,0.61
216,0.61
217,0.61
218,0.6
219,0.61
220,0.61
221,0.61
222,0.61
223,0.66
224,0.65
225,0.64
226,0.64
227,0.65
228,0.65
229,0.66
230,0.66
231,0.66
232,0.67
233,0.67
234,0.68
235,0.68
236,0.68
237,0.66
238,0.66
239,0.66
240,0.66
241,0.66
242,0.65
243,0.64
244,0.64
245,0.65
246,0.65
247,0.65
248,0.65
249,0.67
250,0.64
251,0.64
252,0.64
253,0.63
254,0.63
255,0.63
256,0.63
257,0.63
258,0.61
259,0.62
260,0.62
261,0.6
262,0.6
263,0.6
264,0.6
265,0.6
266,0.6
267,0.6
268,0.6
269,0.57
270,0.54
271,0.54
272,0.54
273,0.55
274,0.53
275,0.56
276,0.56
277,0.54
278,0.55
279,0.55
280,0.55
281,0.55
282,0.55
283,0.57
284,0.57
285,0.57
286,0.56
287,0.58
288,0.59
289,0.59
290,0.59
291,0.58
292,0.58
293,0.58
294,0.59
295,0.58
296,0.6
297,0.62
298,0.62
299,0.62
300,0.62
