Episode,Average Paddle Hits
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,0
19,0
20,0
21,0
22,0
23,0
24,0
25,0
26,0
27,0
28,0
29,0
30,0
31,0
32,0
33,0
34,0
35,0
36,0
37,0
38,0
39,0
40,0
41,0
42,0
43,0
44,0
45,0
46,0
47,0
48,0
49,0
50,0
51,0
52,0
53,0
54,0
55,0
56,0
57,0
58,0
59,0
60,0
61,0
62,0
63,0
64,0
65,0
66,0
67,0
68,0
69,0
70,0
71,0
72,0
73,0
74,0
75,0
76,0
77,0
78,0
79,0
80,0
81,0
82,0
83,0
84,0
85,0
86,0
87,0
88,0
89,0
90,0
91,0
92,0
93,0
94,0
95,0
96,0
97,0
98,0
99,0
100,0.58
101,0.57
102,0.55
103,0.55
104,0.54
105,0.55
106,0.55
107,0.55
108,0.55
109,0.55
110,0.56
111,0.52
112,0.53
113,0.53
114,0.52
115,0.53
116,0.53
117,0.53
118,0.55
119,0.56
120,0.56
121,0.56
122,0.56
123,0.56
124,0.57
125,0.58
126,0.61
127,0.59
128,0.59
129,0.59
130,0.6
131,0.6
132,0.58
133,0.57
134,0.57
135,0.56
136,0.55
137,0.55
138,0.53
139,0.53
140,0.53
141,0.54
142,0.53
143,0.52
144,0.48
145,0.49
146,0.5
147,0.49
148,0.47
149,0.46
150,0.45
151,0.43
152,0.43
153,0.46
154,0.45
155,0.44
156,0.44
157,0.43
158,0.43
159,0.43
160,0.43
161,0.43
162,0.46
163,0.46
164,0.46
165,0.48
166,0.48
167,0.52
168,0.52
169,0.52
170,0.51
171,0.51
172,0.51
173,0.48
174,0.48
175,0.48
176,0.46
177,0.46
178,0.46
179,0.46
180,0.47
181,0.5
182,0.51
183,0.51
184,0.51
185,0.51
186,0.51
187,0.51
188,0.51
189,0.5
190,0.52
191,0.52
192,0.52
193,0.52
194,0.53
195,0.53
196,0.55
197,0.55
198,0.55
199,0.54
200,0.54
201,0.54
202,0.54
203,0.54
204,0.54
205,0.53
206,0.54
207,0.54
208,0.54
209,0.54
210,0.52
211,0.52
212,0.52
213,0.51
214,0.52
215,0.51
216,0.51
217,0.51
218,0.49
219,0.48
220,0.48
221,0.48
222,0.48
223,0.49
224,0.49
225,0.48
226,0.45
227,0.44
228,0.45
229,0.46
230,0.45
231,0.45
232,0.45
233,0.45
234,0.45
235,0.45
236,0.45
237,0.45
238,0.45
239,0.45
240,0.45
241,0.44
242,0.44
243,0.45
244,0.42
245,0.41
246,0.4
247,0.4
248,0.4
249,0.4
250,0.4
251,0.41
252,0.42
253,0.39
254,0.39
255,0.38
256,0.38
257,0.38
258,0.38
259,0.38
260,0.37
261,0.37
262,0.35
263,0.35
264,0.35
265,0.34
266,0.34
267,0.32
268,0.32
269,0.32
270,0.32
271,0.32
272,0.34
273,0.36
274,0.37
275,0.36
276,0.35
277,0.36
278,0.38
279,0.4
280,0.39
281,0.38
282,0.37
283,0.36
284,0.36
285,0.36
286,0.36
287,0.37
288,0.38
289,0.38
290,0.36
291,0.36
292,0.36
293,0.36
294,0.35
295,0.35
296,0.33
297,0.32
298,0.35
299,0.36
300,0.36
