Episode,Average Reward
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,0
19,0
20,0
21,0
22,0
23,0
24,0
25,0
26,0
27,0
28,0
29,0
30,0
31,0
32,0
33,0
34,0
35,0
36,0
37,0
38,0
39,0
40,0
41,0
42,0
43,0
44,0
45,0
46,0
47,0
48,0
49,0
50,0
51,0
52,0
53,0
54,0
55,0
56,0
57,0
58,0
59,0
60,0
61,0
62,0
63,0
64,0
65,0
66,0
67,0
68,0
69,0
70,0
71,0
72,0
73,0
74,0
75,0
76,0
77,0
78,0
79,0
80,0
81,0
82,0
83,0
84,0
85,0
86,0
87,0
88,0
89,0
90,0
91,0
92,0
93,0
94,0
95,0
96,0
97,0
98,0
99,0
100,-0.84
101,-0.86
102,-0.9
103,-0.9
104,-0.92
105,-0.9
106,-0.9
107,-0.9
108,-0.9
109,-0.9
110,-0.88
111,-0.96
112,-0.94
113,-0.94
114,-0.96
115,-0.94
116,-0.94
117,-0.94
118,-0.9
119,-0.88
120,-0.88
121,-0.88
122,-0.88
123,-0.88
124,-0.86
125,-0.84
126,-0.78
127,-0.82
128,-0.82
129,-0.82
130,-0.8
131,-0.8
132,-0.84
133,-0.86
134,-0.86
135,-0.88
136,-0.9
137,-0.9
138,-0.94
139,-0.94
140,-0.94
141,-0.92
142,-0.94
143,-0.96
144,-1.04
145,-1.02
146,-1.0
147,-1.02
148,-1.06
149,-1.08
150,-1.1
151,-1.14
152,-1.14
153,-1.08
154,-1.1
155,-1.12
156,-1.12
157,-1.14
158,-1.14
159,-1.14
160,-1.14
161,-1.14
162,-1.08
163,-1.08
164,-1.08
165,-1.04
166,-1.04
167,-0.96
168,-0.96
169,-0.96
170,-0.98
171,-0.98
172,-0.98
173,-1.04
174,-1.04
175,-1.04
176,-1.08
177,-1.08
178,-1.08
179,-1.08
180,-1.06
181,-1.0
182,-0.98
183,-0.98
184,-0.98
185,-0.98
186,-0.98
187,-0.98
188,-0.98
189,-1.0
190,-0.96
191,-0.96
192,-0.96
193,-0.96
194,-0.94
195,-0.94
196,-0.9
197,-0.9
198,-0.9
199,-0.92
200,-0.92
201,-0.92
202,-0.92
203,-0.92
204,-0.92
205,-0.94
206,-0.92
207,-0.92
208,-0.92
209,-0.92
210,-0.96
211,-0.96
212,-0.96
213,-0.98
214,-0.96
215,-0.98
216,-0.98
217,-0.98
218,-1.02
219,-1.04
220,-1.04
221,-1.04
222,-1.04
223,-1.02
224,-1.02
225,-1.04
226,-1.1
227,-1.12
228,-1.1
229,-1.08
230,-1.1
231,-1.1
232,-1.1
233,-1.1
234,-1.1
235,-1.1
236,-1.1
237,-1.1
238,-1.1
239,-1.1
240,-1.1
241,-1.12
242,-1.12
243,-1.1
244,-1.16
245,-1.18
246,-1.2
247,-1.2
248,-1.2
249,-1.2
250,-1.2
251,-1.18
252,-1.16
253,-1.22
254,-1.22
255,-1.24
256,-1.24
257,-1.24
258,-1.24
259,-1.24
260,-1.26
261,-1.26
262,-1.3
263,-1.3
264,-1.3
265,-1.32
266,-1.32
267,-1.36
268,-1.36
269,-1.36
270,-1.36
271,-1.36
272,-1.32
273,-1.28
274,-1.26
275,-1.28
276,-1.3
277,-1.28
278,-1.24
279,-1.2
280,-1.22
281,-1.24
282,-1.26
283,-1.28
284,-1.28
285,-1.28
286,-1.28
287,-1.26
288,-1.24
289,-1.24
290,-1.28
291,-1.28
292,-1.28
293,-1.28
294,-1.3
295,-1.3
296,-1.34
297,-1.36
298,-1.3
299,-1.28
300,-1.28
