Episode,Time (seconds)
0,17.156341552734375
1,50.6532826423645
2,61.152575731277466
3,79.62136816978455
4,97.69168329238892
5,137.44389843940735
6,147.67368936538696
7,165.73687314987183
8,185.2510325908661
9,199.2200231552124
10,211.18176317214966
11,266.01397943496704
12,302.7666857242584
13,324.6469283103943
14,334.0197958946228
15,368.3336532115936
16,386.56010484695435
17,479.0992114543915
18,492.75020003318787
19,540.5512075424194
20,599.7034611701965
21,613.2282032966614
22,629.350019454956
23,640.2270090579987
24,654.8935308456421
25,765.4023838043213
26,782.9861245155334
27,798.988569021225
28,814.7411425113678
29,833.0826950073242
30,846.2865388393402
31,939.0886409282684
32,951.9739501476288
33,1022.211855173111
34,1040.0169517993927
35,1109.690369129181
36,1119.0973665714264
37,1136.9259781837463
38,1145.4781558513641
39,1276.5909621715546
40,1293.4635701179504
41,1307.0804851055145
42,1315.7225604057312
43,1346.397423028946
44,1389.7872641086578
45,1409.0983436107635
46,1450.331874847412
47,1468.1878814697266
48,1483.21036362648
49,1497.9037079811096
50,1508.2030637264252
51,1526.2902104854584
52,1569.9244010448456
53,1585.1625032424927
54,1621.7977256774902
55,1680.9512593746185
56,1692.0410108566284
57,1709.9739158153534
58,1805.0654559135437
59,1814.9529373645782
60,1845.358368396759
61,1859.5239379405975
62,1877.3781151771545
63,1887.3943564891815
64,1902.1012361049652
65,1918.7943544387817
66,1959.14976978302
67,2040.6357824802399
68,2054.8047091960907
69,2096.962697982788
70,2128.929660797119
71,2182.181716442108
72,2217.5854272842407
73,2236.3155937194824
74,2246.692318916321
75,2260.9922676086426
76,2274.6062037944794
77,2389.3985075950623
78,2436.2777450084686
79,2488.2752470970154
80,2569.5106382369995
81,2589.2079429626465
82,2598.9921114444733
83,2613.235528945923
84,2631.7631952762604
85,2651.88728928566
86,2664.703597307205
87,2679.6939675807953
88,2730.727428674698
89,2744.5462470054626
90,2764.1996505260468
91,2802.561066865921
92,2813.042909145355
93,2823.749108314514
94,2836.99911904335
95,2912.426029443741
96,2922.6012284755707
97,2932.6043837070465
98,2947.184602499008
99,2965.086922645569
100,2975.2697722911835
101,2989.6858761310577
102,2999.391587972641
103,3017.224383354187
104,3034.4236540794373
105,3068.4307310581207
106,3078.1725952625275
107,3091.8126339912415
108,3109.7953815460205
109,3122.4832651615143
110,3165.86158823967
111,3180.0112161636353
112,3200.000421524048
113,3216.752604007721
114,3231.1374230384827
115,3326.702803373337
116,3336.767955303192
117,3369.767404317856
118,3388.1837043762207
119,3418.6554996967316
120,3512.1136050224304
121,3526.036524295807
122,3542.796595096588
123,3561.3255984783173
124,3575.5783257484436
125,3627.227411031723
126,3660.671889066696
127,3694.4417221546173
128,3704.3659811019897
129,3752.331710100174
130,3767.3708624839783
131,3783.4725720882416
132,3857.059107065201
133,3866.7482285499573
134,3959.525687932968
135,4004.734213113785
136,4018.361077070236
137,4069.3508701324463
138,4087.747987985611
139,4098.729427099228
140,4111.939960241318
141,4122.582157611847
142,4140.459510803223
143,4150.966842651367
144,4161.400601148605
145,4192.185754299164
146,4202.1424832344055
147,4234.29300904274
148,4252.8506190776825
149,4263.6205949783325
150,4316.303622245789
151,4334.112120389938
152,4387.505836963654
153,4397.76144528389
154,4407.776239156723
155,4426.38701581955
156,4444.529942274094
157,4455.684129714966
158,4473.262521505356
159,4526.455117464066
160,4572.525809288025
161,4582.09180188179
162,4641.727016925812
163,4652.005212545395
164,4668.506487607956
165,4678.498072147369
166,4696.319189786911
167,4731.200231552124
168,4750.029327392578
169,4798.191094636917
170,4850.435423135757
171,4890.460097551346
172,4904.414032459259
173,4923.175298452377
174,4932.731600522995
175,4942.27463889122
176,4951.399294614792
177,4987.801828622818
178,4997.1910836696625
179,5032.899750709534
180,5050.193479537964
181,5064.834855556488
182,5125.916837215424
183,5135.611513376236
184,5187.965283870697
185,5198.579431772232
186,5216.741067647934
187,5225.824218988419
188,5238.771286249161
189,5252.440983295441
190,5261.861487865448
191,5275.837033033371
192,5289.8625593185425
193,5300.363768339157
194,5314.926388263702
195,5357.704053163528
196,5373.1712300777435
197,5414.06950378418
198,5429.000312805176
199,5439.0363483428955
200,5458.571736574173
201,5490.022114753723
202,5503.436982393265
203,5532.597909212112
204,5539.950852155685
205,5547.092920064926
206,5554.574350357056
207,5568.179420471191
208,5578.085833311081
209,5588.124554634094
210,5595.873292922974
211,5606.0737273693085
212,5626.408121109009
213,5640.08163523674
214,5713.687500953674
215,5721.366006135941
216,5731.538570404053
217,5741.559694051743
218,5755.944852590561
219,5784.103508472443
220,5812.972111225128
221,5836.3184180259705
222,5870.540628910065
223,5877.6879942417145
224,5885.663625955582
225,5964.046999931335
226,5978.125728368759
227,6058.964828252792
228,6070.371001958847
229,6080.728148698807
230,6088.120134592056
231,6095.550469875336
232,6103.109287261963
233,6118.615685224533
234,6134.340094804764
235,6148.593893289566
236,6175.752383232117
237,6189.70311331749
238,6197.05570268631
239,6207.950813293457
240,6217.890902519226
241,6249.845387935638
242,6285.165457725525
243,6295.189396858215
244,6305.211934804916
245,6315.715409040451
246,6328.253638267517
247,6338.224617242813
248,6353.87269282341
249,6405.446273565292
250,6425.206657648087
251,6444.738498687744
252,6453.916484832764
253,6462.986591100693
254,6473.718967676163
255,6487.657723665237
256,6497.188583135605
257,6516.201510667801
258,6529.3460738658905
259,6611.7177629470825
260,6629.994100809097
261,6714.4010145664215
262,6745.5589554309845
263,6794.727072238922
264,6808.681308746338
265,6851.134773015976
266,6865.801203966141
267,6879.9916026592255
268,7047.977301836014
269,7095.438249349594
270,7150.151199102402
271,7162.247610330582
272,7175.816442251205
273,7185.2002630233765
274,7232.58199262619
275,7309.884263277054
276,7322.692985057831
277,7359.296787977219
278,7377.918572187424
279,7423.069198131561
280,7434.378648996353
281,7558.254870414734
