Episode,Average Reward
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,0
19,0
20,0
21,0
22,0
23,0
24,0
25,0
26,0
27,0
28,0
29,0
30,0
31,0
32,0
33,0
34,0
35,0
36,0
37,0
38,0
39,0
40,0
41,0
42,0
43,0
44,0
45,0
46,0
47,0
48,0
49,0
50,0
51,0
52,0
53,0
54,0
55,0
56,0
57,0
58,0
59,0
60,0
61,0
62,0
63,0
64,0
65,0
66,0
67,0
68,0
69,0
70,0
71,0
72,0
73,0
74,0
75,0
76,0
77,0
78,0
79,0
80,0
81,0
82,0
83,0
84,0
85,0
86,0
87,0
88,0
89,0
90,0
91,0
92,0
93,0
94,0
95,0
96,0
97,0
98,0
99,0
100,-1.24
101,-1.24
102,-1.22
103,-1.22
104,-1.2
105,-1.24
106,-1.24
107,-1.24
108,-1.24
109,-1.16
110,-1.16
111,-1.16
112,-1.16
113,-1.14
114,-1.14
115,-1.12
116,-1.1
117,-1.08
118,-1.08
119,-1.04
120,-1.04
121,-1.06
122,-1.06
123,-1.06
124,-1.02
125,-1.04
126,-1.02
127,-1.04
128,-1.08
129,-1.1
130,-1.1
131,-1.12
132,-1.14
133,-1.12
134,-1.1
135,-1.1
136,-1.12
137,-1.14
138,-1.08
139,-1.1
140,-1.1
141,-1.06
142,-1.06
143,-1.1
144,-1.04
145,-1.02
146,-1.02
147,-1.02
148,-1.0
149,-1.0
150,-1.0
151,-1.0
152,-1.0
153,-0.98
154,-0.98
155,-0.98
156,-0.98
157,-0.98
158,-0.98
159,-1.02
160,-1.02
161,-1.02
162,-1.02
163,-1.04
164,-1.04
165,-1.04
166,-1.04
167,-1.04
168,-1.06
169,-0.98
170,-0.98
171,-1.02
172,-1.0
173,-1.0
174,-1.02
175,-1.02
176,-1.02
177,-1.02
178,-1.04
179,-1.0
180,-0.96
181,-0.96
182,-0.98
183,-0.96
184,-0.94
185,-0.9
186,-0.92
187,-0.92
188,-0.9
189,-0.92
190,-0.84
191,-0.86
192,-0.86
193,-0.86
194,-0.82
195,-0.82
196,-0.84
197,-0.84
198,-0.84
199,-0.88
200,-0.9
201,-0.92
202,-0.94
203,-0.94
204,-0.96
205,-0.96
206,-0.96
207,-0.92
208,-0.9
209,-0.98
210,-0.98
211,-0.92
212,-0.92
213,-0.94
214,-0.94
215,-0.96
216,-0.98
217,-1.0
218,-0.98
219,-1.02
220,-1.0
221,-1.0
222,-1.0
223,-0.98
224,-1.02
225,-1.0
226,-1.02
227,-0.98
228,-0.92
229,-0.92
230,-0.92
231,-0.92
232,-0.92
233,-0.94
234,-0.96
235,-0.94
236,-0.94
237,-0.94
238,-1.0
239,-0.96
240,-0.96
241,-1.0
242,-1.0
243,-1.0
244,-1.06
245,-1.08
246,-1.08
247,-1.08
248,-1.1
249,-1.1
250,-1.08
251,-1.08
252,-1.08
253,-1.1
254,-1.1
255,-1.12
256,-1.1
257,-1.1
258,-1.1
259,-1.1
260,-1.1
261,-1.1
262,-1.1
263,-1.1
264,-1.1
265,-1.1
266,-1.1
267,-1.06
268,-1.02
269,-1.1
270,-1.1
271,-1.08
272,-1.1
273,-1.1
274,-1.08
275,-1.0
276,-1.0
277,-1.0
278,-1.0
279,-1.04
280,-1.06
281,-1.06
282,-1.04
283,-1.06
284,-1.08
285,-1.12
286,-1.12
287,-1.1
288,-1.12
289,-1.1
290,-1.12
291,-1.12
292,-1.1
293,-1.1
294,-1.18
295,-1.16
296,-1.16
297,-1.16
298,-1.16
299,-1.18
300,-1.18
