Episode,Average Reward
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,0
19,0
20,0
21,0
22,0
23,0
24,0
25,0
26,0
27,0
28,0
29,0
30,0
31,0
32,0
33,0
34,0
35,0
36,0
37,0
38,0
39,0
40,0
41,0
42,0
43,0
44,0
45,0
46,0
47,0
48,0
49,0
50,0
51,0
52,0
53,0
54,0
55,0
56,0
57,0
58,0
59,0
60,0
61,0
62,0
63,0
64,0
65,0
66,0
67,0
68,0
69,0
70,0
71,0
72,0
73,0
74,0
75,0
76,0
77,0
78,0
79,0
80,0
81,0
82,0
83,0
84,0
85,0
86,0
87,0
88,0
89,0
90,0
91,0
92,0
93,0
94,0
95,0
96,0
97,0
98,0
99,0
100,-0.92
101,-0.9
102,-0.9
103,-0.86
104,-0.86
105,-0.88
106,-0.86
107,-0.88
108,-0.88
109,-0.84
110,-0.94
111,-0.94
112,-0.96
113,-0.96
114,-0.96
115,-0.96
116,-0.94
117,-0.94
118,-0.94
119,-0.94
120,-0.92
121,-0.9
122,-0.84
123,-0.84
124,-0.88
125,-0.86
126,-0.88
127,-0.86
128,-0.86
129,-0.86
130,-0.88
131,-0.86
132,-0.88
133,-0.88
134,-0.9
135,-0.94
136,-0.9
137,-0.92
138,-0.92
139,-0.92
140,-0.92
141,-0.92
142,-0.94
143,-0.9
144,-0.9
145,-0.88
146,-0.86
147,-0.82
148,-0.82
149,-0.82
150,-0.82
151,-0.82
152,-0.84
153,-0.86
154,-0.86
155,-0.88
156,-0.88
157,-0.94
158,-0.94
159,-0.92
160,-0.9
161,-0.86
162,-0.9
163,-0.88
164,-0.88
165,-0.88
166,-0.88
167,-0.88
168,-0.94
169,-0.94
170,-0.96
171,-0.94
172,-0.94
173,-0.92
174,-0.94
175,-0.94
176,-0.94
177,-0.94
178,-0.94
179,-0.94
180,-0.94
181,-0.94
182,-0.94
183,-0.94
184,-0.94
185,-0.94
186,-0.94
187,-0.98
188,-1.0
189,-1.02
190,-1.04
191,-1.06
192,-1.04
193,-0.96
194,-0.96
195,-0.98
196,-0.98
197,-1.0
198,-0.98
199,-0.96
200,-0.98
201,-1.0
