Episode,Average Paddle Hits
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,0
19,0
20,0
21,0
22,0
23,0
24,0
25,0
26,0
27,0
28,0
29,0
30,0
31,0
32,0
33,0
34,0
35,0
36,0
37,0
38,0
39,0
40,0
41,0
42,0
43,0
44,0
45,0
46,0
47,0
48,0
49,0
50,0
51,0
52,0
53,0
54,0
55,0
56,0
57,0
58,0
59,0
60,0
61,0
62,0
63,0
64,0
65,0
66,0
67,0
68,0
69,0
70,0
71,0
72,0
73,0
74,0
75,0
76,0
77,0
78,0
79,0
80,0
81,0
82,0
83,0
84,0
85,0
86,0
87,0
88,0
89,0
90,0
91,0
92,0
93,0
94,0
95,0
96,0
97,0
98,0
99,0
100,0.61
101,0.59
102,0.6
103,0.61
104,0.61
105,0.6
106,0.61
107,0.6
108,0.61
109,0.59
110,0.6
111,0.58
112,0.58
113,0.59
114,0.58
115,0.58
116,0.6
117,0.6
118,0.6
119,0.59
120,0.58
121,0.57
122,0.54
123,0.55
124,0.54
125,0.54
126,0.53
127,0.52
128,0.53
129,0.53
130,0.53
131,0.53
132,0.52
133,0.52
134,0.52
135,0.51
136,0.51
137,0.51
138,0.51
139,0.51
140,0.5
141,0.51
142,0.51
143,0.51
144,0.51
145,0.52
146,0.52
147,0.53
148,0.53
149,0.53
150,0.53
151,0.5
152,0.49
153,0.5
154,0.51
155,0.51
156,0.5
157,0.5
158,0.46
159,0.44
160,0.44
161,0.48
162,0.48
163,0.48
164,0.48
165,0.48
166,0.47
167,0.46
168,0.47
169,0.49
170,0.49
171,0.49
172,0.49
173,0.49
174,0.5
175,0.51
176,0.5
177,0.49
178,0.46
179,0.46
180,0.46
181,0.46
182,0.46
183,0.46
184,0.46
185,0.45
186,0.4
187,0.4
188,0.4
189,0.4
190,0.4
191,0.39
192,0.39
193,0.4
194,0.41
195,0.39
196,0.4
197,0.4
198,0.39
199,0.38
200,0.37
201,0.37
202,0.36
203,0.35
204,0.35
205,0.35
206,0.34
207,0.35
208,0.35
209,0.36
210,0.35
211,0.37
212,0.38
213,0.37
214,0.38
215,0.38
216,0.35
217,0.35
218,0.35
