Episode,Average Paddle Hits
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,0
19,0
20,0
21,0
22,0
23,0
24,0
25,0
26,0
27,0
28,0
29,0
30,0
31,0
32,0
33,0
34,0
35,0
36,0
37,0
38,0
39,0
40,0
41,0
42,0
43,0
44,0
45,0
46,0
47,0
48,0
49,0
50,0
51,0
52,0
53,0
54,0
55,0
56,0
57,0
58,0
59,0
60,0
61,0
62,0
63,0
64,0
65,0
66,0
67,0
68,0
69,0
70,0
71,0
72,0
73,0
74,0
75,0
76,0
77,0
78,0
79,0
80,0
81,0
82,0
83,0
84,0
85,0
86,0
87,0
88,0
89,0
90,0
91,0
92,0
93,0
94,0
95,0
96,0
97,0
98,0
99,0
100,0.44
101,0.44
102,0.47
103,0.47
104,0.47
105,0.48
106,0.49
107,0.49
108,0.49
109,0.49
110,0.49
111,0.49
112,0.48
113,0.48
114,0.49
115,0.5
116,0.5
117,0.5
118,0.49
119,0.49
120,0.51
121,0.51
122,0.51
123,0.51
124,0.52
125,0.53
126,0.52
127,0.53
128,0.53
129,0.53
130,0.54
131,0.56
132,0.6
133,0.59
134,0.59
135,0.57
136,0.56
137,0.55
138,0.56
139,0.59
140,0.59
141,0.58
142,0.56
143,0.54
144,0.54
145,0.54
146,0.55
147,0.55
148,0.55
149,0.55
150,0.55
151,0.55
152,0.55
153,0.55
154,0.49
155,0.46
156,0.45
157,0.45
158,0.45
159,0.45
160,0.44
161,0.46
162,0.46
163,0.46
164,0.48
165,0.49
166,0.51
167,0.52
168,0.52
169,0.52
170,0.52
171,0.51
172,0.51
173,0.53
174,0.53
175,0.52
176,0.52
177,0.53
178,0.53
179,0.53
180,0.53
181,0.53
182,0.53
183,0.53
184,0.53
185,0.53
186,0.53
187,0.52
188,0.53
189,0.53
190,0.52
191,0.52
192,0.52
193,0.52
194,0.52
195,0.53
196,0.51
197,0.51
198,0.51
199,0.52
200,0.51
201,0.51
202,0.48
203,0.48
204,0.48
205,0.47
206,0.47
207,0.47
208,0.47
209,0.46
210,0.46
211,0.46
212,0.46
213,0.46
214,0.45
215,0.45
216,0.45
217,0.45
218,0.45
