Episode,Average Reward
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,0
19,0
20,0
21,0
22,0
23,0
24,0
25,0
26,0
27,0
28,0
29,0
30,0
31,0
32,0
33,0
34,0
35,0
36,0
37,0
38,0
39,0
40,0
41,0
42,0
43,0
44,0
45,0
46,0
47,0
48,0
49,0
50,0
51,0
52,0
53,0
54,0
55,0
56,0
57,0
58,0
59,0
60,0
61,0
62,0
63,0
64,0
65,0
66,0
67,0
68,0
69,0
70,0
71,0
72,0
73,0
74,0
75,0
76,0
77,0
78,0
79,0
80,0
81,0
82,0
83,0
84,0
85,0
86,0
87,0
88,0
89,0
90,0
91,0
92,0
93,0
94,0
95,0
96,0
97,0
98,0
99,0
100,-0.58
101,-0.54
102,-0.54
103,-0.5
104,-0.48
105,-0.44
106,-0.48
107,-0.46
108,-0.46
109,-0.48
110,-0.48
111,-0.46
112,-0.44
113,-0.44
114,-0.44
115,-0.44
116,-0.42
117,-0.42
118,-0.42
119,-0.46
120,-0.46
121,-0.42
122,-0.4
123,-0.42
124,-0.42
125,-0.4
126,-0.38
127,-0.36
128,-0.36
129,-0.36
130,-0.38
131,-0.4
132,-0.38
133,-0.38
134,-0.4
135,-0.4
136,-0.4
137,-0.4
138,-0.4
139,-0.44
140,-0.44
141,-0.44
142,-0.44
143,-0.46
144,-0.5
145,-0.48
146,-0.48
147,-0.48
148,-0.48
149,-0.48
150,-0.46
151,-0.48
152,-0.48
153,-0.44
154,-0.48
155,-0.54
156,-0.54
157,-0.54
158,-0.56
159,-0.54
160,-0.52
161,-0.52
162,-0.52
163,-0.54
164,-0.56
165,-0.56
166,-0.56
167,-0.56
168,-0.56
169,-0.6
170,-0.7
171,-0.72
172,-0.74
173,-0.76
174,-0.88
175,-0.88
176,-0.88
177,-0.92
178,-0.88
179,-0.88
180,-0.88
181,-0.92
182,-0.96
183,-0.98
184,-1.02
185,-1.02
186,-1.02
187,-1.02
188,-1.0
189,-1.0
190,-0.94
191,-0.94
192,-0.86
193,-0.86
194,-0.86
195,-0.86
196,-0.84
197,-0.84
198,-0.78
199,-0.8
200,-0.78
201,-0.78
