Episode,Average Paddle Hits
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,0
19,0
20,0
21,0
22,0
23,0
24,0
25,0
26,0
27,0
28,0
29,0
30,0
31,0
32,0
33,0
34,0
35,0
36,0
37,0
38,0
39,0
40,0
41,0
42,0
43,0
44,0
45,0
46,0
47,0
48,0
49,0
50,0
51,0
52,0
53,0
54,0
55,0
56,0
57,0
58,0
59,0
60,0
61,0
62,0
63,0
64,0
65,0
66,0
67,0
68,0
69,0
70,0
71,0
72,0
73,0
74,0
75,0
76,0
77,0
78,0
79,0
80,0
81,0
82,0
83,0
84,0
85,0
86,0
87,0
88,0
89,0
90,0
91,0
92,0
93,0
94,0
95,0
96,0
97,0
98,0
99,0
100,0.42
101,0.42
102,0.42
103,0.42
104,0.42
105,0.43
106,0.43
107,0.45
108,0.44
109,0.45
110,0.45
111,0.45
112,0.44
113,0.44
114,0.43
115,0.42
116,0.42
117,0.41
118,0.42
119,0.42
120,0.44
121,0.43
122,0.43
123,0.43
124,0.43
125,0.43
126,0.43
127,0.43
128,0.42
129,0.42
130,0.4
131,0.41
132,0.41
133,0.41
134,0.41
135,0.41
136,0.4
137,0.42
138,0.42
139,0.43
140,0.42
141,0.42
142,0.42
143,0.41
144,0.43
145,0.41
146,0.41
147,0.42
148,0.42
149,0.41
150,0.41
151,0.42
152,0.42
153,0.42
154,0.42
155,0.42
156,0.42
157,0.42
158,0.45
159,0.44
160,0.45
161,0.47
162,0.47
163,0.48
164,0.48
165,0.48
166,0.47
167,0.45
168,0.46
169,0.46
170,0.45
171,0.45
172,0.45
173,0.45
174,0.46
175,0.46
176,0.49
177,0.49
178,0.52
179,0.52
180,0.53
181,0.53
182,0.53
183,0.52
184,0.52
185,0.51
186,0.51
187,0.52
188,0.52
189,0.52
190,0.52
191,0.52
192,0.54
193,0.53
194,0.53
195,0.53
196,0.52
197,0.57
198,0.55
199,0.53
200,0.54
201,0.55
202,0.55
203,0.55
204,0.54
205,0.53
206,0.54
207,0.52
208,0.51
209,0.48
210,0.48
211,0.48
212,0.48
213,0.48
214,0.49
215,0.5
216,0.5
217,0.51
218,0.5
219,0.5
220,0.48
221,0.49
222,0.49
223,0.49
224,0.48
225,0.48
226,0.49
227,0.49
228,0.49
229,0.49
230,0.49
231,0.48
232,0.48
233,0.49
234,0.49
235,0.49
236,0.49
237,0.47
238,0.47
239,0.45
240,0.45
241,0.45
242,0.45
243,0.46
244,0.44
245,0.44
246,0.45
247,0.46
248,0.46
249,0.46
250,0.46
251,0.45
252,0.45
253,0.44
254,0.43
255,0.43
256,0.43
257,0.43
258,0.4
259,0.4
260,0.39
261,0.37
262,0.37
263,0.36
264,0.38
265,0.38
266,0.38
267,0.38
268,0.38
269,0.38
270,0.38
271,0.38
272,0.38
273,0.41
274,0.39
275,0.39
276,0.36
277,0.4
278,0.37
279,0.38
280,0.37
281,0.37
282,0.38
283,0.38
284,0.38
285,0.38
286,0.39
287,0.38
288,0.38
289,0.4
290,0.41
291,0.42
292,0.4
293,0.4
294,0.41
295,0.42
296,0.42
297,0.37
298,0.36
299,0.36
300,0.37
